date,distance
2020-03-16,20.830000000000002
2020-03-23,48.959999999999994
2020-03-30,53.56
2020-04-06,7.02
2020-04-13,2.46
2020-04-20,10.01
2020-04-27,4.86
2020-05-04,16.63
2020-05-11,27.0
2020-05-18,0.0
2020-05-25,0.0
2020-06-01,7.02
2020-06-08,28.54
2020-06-15,25.02
2020-06-22,7.02
2020-06-29,8.13
2020-07-06,0.0
2020-07-13,13.91
2020-07-20,36.519999999999996
2020-07-27,29.990000000000002
2020-08-03,41.06
2020-08-10,14.32
2020-08-17,4.85
2020-08-24,37.76
2020-08-31,18.8
2020-09-07,18.89
2020-09-14,37.54
2020-09-21,49.07999999999999
2020-09-28,23.02
2020-10-05,21.46
2020-10-12,29.049999999999997